seqnames,strand,position,sampleName,refGenome
chr14,-,58289386,D28 - CR_PRtd,hg38
chr16,+,31089723,D28 - CR_PRtd,hg38
chr6,-,72922002,D28 - CR_PRtd,hg38
chr9,-,2828088,D28 - CR_PRtd,hg38
chr6,+,127788572,D28 - CR_PRtd,hg38
chr6,-,159730139,D28 - CR_PRtd,hg38
chr4,-,39828573,D28 - CR_PRtd,hg38
chr2,-,34682079,D28 - CR_PRtd,hg38
chr5,-,62401535,D28 - CR_PRtd,hg38
chr5,-,68257860,D28 - CR_PRtd,hg38
chr8,+,144300327,D28 - CR_PRtd,hg38
chr15,-,17694289,D28 - CR_PRtd,hg38
chr6,+,34846931,D28 - CR_PRtd,hg38
chr14,-,77671031,D28 - CR_PRtd,hg38
chr4,+,47595010,D28 - CR_PRtd,hg38
chr2,-,27938611,D28 - CR_PRtd,hg38
chr13,+,19729751,D28 - CR_PRtd,hg38
chr13,-,97413277,D28 - CR_PRtd,hg38
chr3,+,111618746,D28 - CR_PRtd,hg38
chr19,+,50379086,D28 - CR_PRtd,hg38
chr19,-,10621043,D28 - CR_PRtd,hg38
chr3,+,145167603,D28 - CR_PRtd,hg38
chr13,+,20075980,D28 - CR_PRtd,hg38
chr12,-,59635615,D28 - CR_PRtd,hg38
chr17,+,82198087,D28 - CR_PRtd,hg38
chr9,-,104142307,D28 - CR_PRtd,hg38
chr17,-,9590494,D28 - CR_PRtd,hg38
chr2,-,38343284,D28 - CR_PRtd,hg38
chr16,+,69694739,D28 - CR_PRtd,hg38
chr2,-,197080707,D28 - CR_PRtd,hg38
chr7,-,82751233,D28 - CR_PRtd,hg38
chr12,-,120028320,D28 - CR_PRtd,hg38
chr9,-,27561591,D28 - CR_PRtd,hg38
chr16,+,21815969,D28 - CR_PRtd,hg38
chr17,+,66502261,D28 - CR_PRtd,hg38
chr8,+,116512264,D28 - CR_PRtd,hg38
chr16,-,72026600,D28 - CR_PRtd,hg38
chr15,-,82168320,D28 - CR_PRtd,hg38
chr12,+,123714909,D28 - CR_PRtd,hg38
chr3,-,95371024,D28 - CR_PRtd,hg38
chr16,+,1816298,D28 - CR_PRtd,hg38
chr12,+,93125841,D28 - CR_PRtd,hg38
chr1,-,36847840,D28 - CR_PRtd,hg38
chr14,-,76003995,D28 - CR_PRtd,hg38
chrX,+,106629907,D28 - CR_PRtd,hg38
chr5,-,98896280,D28 - CR_PRtd,hg38
chr17,-,37574366,D28 - CR_PRtd,hg38
chr8,+,81072429,D28 - CR_PRtd,hg38
chr17,+,41858263,D28 - CR_PRtd,hg38
chr1,-,6194717,D28 - CR_PRtd,hg38
chr2,-,203554932,D28 - CR_PRtd,hg38
chr2,+,48574174,D28 - CR_PRtd,hg38
chr2,-,11288671,D28 - CR_PRtd,hg38
chr10,-,17544896,D28 - CR_PRtd,hg38
chr3,-,103252073,D28 - CR_PRtd,hg38
chr12,+,120885006,D28 - CR_PRtd,hg38
chr4,-,877062,D28 - CR_PRtd,hg38
chr3,+,69166192,D28 - CR_PRtd,hg38
chr5,+,34209846,D28 - CR_PRtd,hg38
chr13,+,26272488,D28 - CR_PRtd,hg38
chr11,-,66642631,D28 - CR_PRtd,hg38
chr12,+,62350037,D28 - CR_PRtd,hg38
chrX,+,77586919,D28 - CR_PRtd,hg38
chr2,-,27653601,D28 - CR_PRtd,hg38
chr17,-,29691930,D28 - CR_PRtd,hg38
chr10,-,101705246,D28 - CR_PRtd,hg38
chr6,+,25510599,D28 - CR_PRtd,hg38
chr5,-,40077669,D28 - CR_PRtd,hg38
chr1,+,1392006,D28 - CR_PRtd,hg38
chr18,+,7385041,D28 - CR_PRtd,hg38
chr3,+,20518643,D28 - CR_PRtd,hg38
chr21,+,39254228,D28 - CR_PRtd,hg38
chr6,-,42659320,D28 - CR_PRtd,hg38
chr2,+,47839081,D28 - CR_PRtd,hg38
chr9,-,7015752,D28 - CR_PRtd,hg38
chr8,-,143585922,D28 - CR_PRtd,hg38
chr17,-,76184660,D28 - CR_PRtd,hg38
chr6,+,138906890,D28 - CR_PRtd,hg38
chr19,+,10606586,D28 - CR_PRtd,hg38
chr7,-,66753846,D28 - CR_PRtd,hg38
chr1,+,150469078,D28 - CR_PRtd,hg38
chr6,+,26129652,D28 - CR_PRtd,hg38
chr10,-,96928858,D28 - CR_PRtd,hg38
chrX,-,44939015,D28 - CR_PRtd,hg38
chr1,+,28742073,D28 - CR_PRtd,hg38
chr10,-,3470491,D28 - CR_PRtd,hg38
chr19,+,30293408,D28 - CR_PRtd,hg38
chr2,+,170016718,D28 - CR_PRtd,hg38
chr3,-,52621036,D28 - CR_PRtd,hg38
chr1,+,39051519,D28 - CR_PRtd,hg38
chr10,+,22693275,D28 - CR_PRtd,hg38
chr10,+,70469792,D28 - CR_PRtd,hg38
chr2,-,166716135,D28 - CR_PRtd,hg38
chr7,+,56246621,D28 - CR_PRtd,hg38
chr19,+,33542694,D28 - CR_PRtd,hg38
chr17,-,76732708,D28 - CR_PRtd,hg38
chr1,+,24164937,D28 - CR_PRtd,hg38
chr22,+,50203627,D28 - CR_PRtd,hg38
chr11,-,111081991,D28 - CR_PRtd,hg38
chrX,-,116031527,D28 - CR_PRtd,hg38
chr7,+,11013924,D28 - CR_PRtd,hg38
chr1,-,56221964,D28 - CR_PRtd,hg38
chr13,-,55373975,D28 - CR_PRtd,hg38
chr8,-,97810133,D28 - CR_PRtd,hg38
chr2,-,127494883,D28 - CR_PRtd,hg38
chr17,-,81630858,D28 - CR_PRtd,hg38
chr19,-,57203987,D28 - CR_PRtd,hg38
chr18,+,35272515,D28 - CR_PRtd,hg38
chr7,-,27265542,D28 - CR_PRtd,hg38
chr8,-,144752594,D28 - CR_PRtd,hg38
chr8,-,6470045,D28 - CR_PRtd,hg38
chr8,+,133561828,D28 - CR_PRtd,hg38
chr7,-,21361940,D28 - CR_PRtd,hg38
chr11,-,74195253,D28 - CR_PRtd,hg38
chr1,-,1650262,D28 - CR_PRtd,hg38
chr17,+,55019676,D28 - CR_PRtd,hg38
chr8,+,144300327,D28 - CR_PRtd,hg38
chr14,+,85954838,D28 - CR_PRtd,hg38
chr11,-,64875931,D28 - CR_PRtd,hg38
chr5,+,163468627,D28 - CR_PRtd,hg38
chr4,-,130320175,D28 - CR_PRtd,hg38
chr1,-,202912954,D28 - CR_PRtd,hg38
chr19,+,48207268,D28 - CR_PRtd,hg38
chr19,-,45267278,D28 - CR_PRtd,hg38
chr2,-,203174986,D28 - CR_PRtd,hg38
chr10,+,28542486,D28 - CR_PRtd,hg38
chr20,+,64262648,D28 - CR_PRtd,hg38
chr6,+,35464333,D28 - CR_PRtd,hg38
chr4,-,7360804,D28 - CR_PRtd,hg38
chr3,-,71006121,D28 - CR_PRtd,hg38
chr12,-,120020674,D28 - CR_PRtd,hg38
chr20,-,42314293,D28 - CR_PRtd,hg38
chr16,-,67705970,D28 - CR_PRtd,hg38
chr3,+,52631027,D28 - CR_PRtd,hg38
chr3,+,170274790,D28 - CR_PRtd,hg38
chr7,-,69251392,D28 - CR_PRtd,hg38
chr15,-,42832613,D28 - CR_PRtd,hg38
chr2,+,159746919,D28 - CR_PRtd,hg38
chr16,-,136815,D28 - CR_PRtd,hg38
chr16,+,68175863,D28 - CR_PRtd,hg38
chr1,-,77433838,D28 - CR_PRtd,hg38
chr17,-,2147716,D28 - CR_PRtd,hg38
chr2,-,69859129,D28 - CR_PRtd,hg38
chr11,+,73065381,D28 - CR_PRtd,hg38
chr13,+,100126694,D28 - CR_PRtd,hg38
chr1,-,173595050,D28 - CR_PRtd,hg38
chr3,-,170241002,D28 - CR_PRtd,hg38
chr17,-,34803743,D28 - CR_PRtd,hg38
chr3,-,93986211,D28 - CR_PRtd,hg38
chr13,+,20074742,D28 - CR_PRtd,hg38
chr7,-,82706527,D28 - CR_PRtd,hg38
chr2,+,68687778,D28 - CR_PRtd,hg38
chr19,-,14096185,D28 - CR_PRtd,hg38
chrX,-,46623702,D28 - CR_PRtd,hg38
chr12,+,97334282,D28 - CR_PRtd,hg38
chr6,+,43431697,D28 - CR_PRtd,hg38
chr7,-,143292231,D28 - CR_PRtd,hg38
chr5,+,11686004,D28 - CR_PRtd,hg38
chr7,-,83222681,D28 - CR_PRtd,hg38
chr11,-,31481500,D28 - CR_PRtd,hg38
chr19,-,19875072,D28 - CR_PRtd,hg38
chr13,-,41837872,D28 - CR_PRtd,hg38
chr9,-,20965907,D28 - CR_PRtd,hg38
chr7,-,134135854,D28 - CR_PRtd,hg38
chr7,-,75196647,D28 - CR_PRtd,hg38
chr2,+,11221319,D28 - CR_PRtd,hg38
chr11,-,71818347,D28 - CR_PRtd,hg38
chr16,-,23577080,D28 - CR_PRtd,hg38
chr16,+,9115224,D28 - CR_PRtd,hg38
chr4,+,177483057,D28 - CR_PRtd,hg38
chr2,-,231168310,D28 - CR_PRtd,hg38
chr11,-,122153673,D28 - CR_PRtd,hg38
chr12,+,64681789,D28 - CR_PRtd,hg38
chr1,+,120324931,D28 - CR_PRtd,hg38
chr11,-,68185026,D28 - CR_PRtd,hg38
chr4,-,148354879,D28 - CR_PRtd,hg38
chr2,-,149430319,D28 - CR_PRtd,hg38
chr14,-,93336590,D28 - CR_PRtd,hg38
chr2,+,138531351,D28 - CR_PRtd,hg38
chrX,+,103575228,D28 - CR_PRtd,hg38
chrX,+,154043437,D28 - CR_PRtd,hg38
chr6,-,167845545,D28 - CR_PRtd,hg38
chr5,-,34769948,D28 - CR_PRtd,hg38
chr19,+,44983488,D28 - CR_PRtd,hg38
chr6,-,32809173,D28 - CR_PRtd,hg38
chr22,-,50634817,D28 - CR_PRtd,hg38
chr14,+,39155394,D28 - CR_PRtd,hg38
chr1,+,196069066,D28 - CR_PRtd,hg38
chr19,+,19446605,D28 - CR_PRtd,hg38
chr4,-,169668600,D28 - CR_PRtd,hg38
chr5,-,100812072,D28 - CR_PRtd,hg38
chr12,-,89428610,D28 - CR_PRtd,hg38
chr12,+,11173344,D28 - CR_PRtd,hg38
chr17,-,6723101,D28 - CR_PRtd,hg38
chr6,+,45201766,D28 - CR_PRtd,hg38
chr19,-,48967366,D28 - CR_PRtd,hg38
chr9,+,99528540,D28 - CR_PRtd,hg38
chr9,+,126352984,D28 - CR_PRtd,hg38
chr5,-,178615611,D28 - CR_PRtd,hg38
chr14,+,31398039,D28 - CR_PRtd,hg38
chr10,-,89744605,D28 - CR_PRtd,hg38
chr11,+,72030019,D28 - CR_PRtd,hg38
chr1,+,43769128,D28 - CR_PRtd,hg38
chr21,+,45204996,D28 - CR_PRtd,hg38
chr1,-,45024434,D28 - CR_PRtd,hg38
chr8,+,1761471,D28 - CR_PRtd,hg38
chr10,+,94338899,D28 - CR_PRtd,hg38
chr15,-,76893959,D28 - CR_PRtd,hg38
chr12,-,44851145,D28 - CR_PRtd,hg38
chr1,-,74301890,D28 - CR_PRtd,hg38
chr2,-,143546911,D28 - CR_PRtd,hg38
chr1,-,198674437,D28 - CR_PRtd,hg38
chr13,+,40731380,D28 - CR_PRtd,hg38
chr21,-,32711491,D28 - CR_PRtd,hg38
chr1,+,196409133,D28 - CR_PRtd,hg38
chr11,-,65566658,D28 - CR_PRtd,hg38
chr2,+,134950840,D28 - CR_PRtd,hg38
chr19,-,13811918,D28 - CR_PRtd,hg38
chr17,-,46071373,D28 - CR_PRtd,hg38
chr2,-,183132774,D28 - CR_PRtd,hg38
chr16,+,2515990,D28 - CR_PRtd,hg38
chr9,-,132394072,D28 - CR_PRtd,hg38
chr16,-,1811760,D28 - CR_PRtd,hg38
chr22,+,40966851,D28 - CR_PRtd,hg38
chr17,-,5396843,D28 - CR_PRtd,hg38
chr21,-,15867652,D28 - CR_PRtd,hg38
chr19,-,29248725,D28 - PR_NR,hg38
chr1,-,28968808,D28 - PR_NR,hg38
chr2,+,43972566,D28 - PR_NR,hg38
chr2,+,121625609,D28 - PR_NR,hg38
chr3,-,33915481,D28 - PR_NR,hg38
chr3,+,155300547,D28 - PR_NR,hg38
chr3,-,158280929,D28 - PR_NR,hg38
chr4,+,134532390,D28 - PR_NR,hg38
chr6,+,18372937,D28 - PR_NR,hg38
chr6,-,24838635,D28 - PR_NR,hg38
chr6,-,85877382,D28 - PR_NR,hg38
chr7,-,72743687,D28 - PR_NR,hg38
chr7,-,96201353,D28 - PR_NR,hg38
chr8,-,86167640,D28 - PR_NR,hg38
chr8,-,87169491,D28 - PR_NR,hg38
chr8,+,144394415,D28 - PR_NR,hg38
chr9,+,122175581,D28 - PR_NR,hg38
chr9,+,137103685,D28 - PR_NR,hg38
chr9,+,137103800,D28 - PR_NR,hg38
chr10,+,25775440,D28 - PR_NR,hg38
chr10,-,51729550,D28 - PR_NR,hg38
chr11,-,36118907,D28 - PR_NR,hg38
chr12,-,21258833,D28 - PR_NR,hg38
chr12,+,34842545,D28 - PR_NR,hg38
chr12,+,34899286,D28 - PR_NR,hg38
chr12,+,34928494,D28 - PR_NR,hg38
chr12,-,51862768,D28 - PR_NR,hg38
chr12,-,63865312,D28 - PR_NR,hg38
chr12,+,74273308,D28 - PR_NR,hg38
chr12,-,103376573,D28 - PR_NR,hg38
chr12,-,109591680,D28 - PR_NR,hg38
chr12,-,113149052,D28 - PR_NR,hg38
chr13,-,34530278,D28 - PR_NR,hg38
chr15,-,89145100,D28 - PR_NR,hg38
chr16,-,28169565,D28 - PR_NR,hg38
chr17,-,1611126,D28 - PR_NR,hg38
chr18,-,15895435,D28 - PR_NR,hg38
chr18,-,15938559,D28 - PR_NR,hg38
chr19,-,48884787,D28 - PR_NR,hg38
chr19,+,49536475,D28 - PR_NR,hg38
chr19,-,51378188,D28 - PR_NR,hg38
chr20,-,4952866,D28 - PR_NR,hg38
chr20,-,35382836,D28 - PR_NR,hg38
chr20,-,35422990,D28 - PR_NR,hg38
chr21,+,33413224,D28 - PR_NR,hg38
chr22,-,18011909,D28 - PR_NR,hg38
chr2,-,81600758,D28 - PR_NR,hg38
chr2,-,84790861,D28 - PR_NR,hg38
chr2,-,96604561,D28 - PR_NR,hg38
chr3,-,132025032,D28 - PR_NR,hg38
chr3,-,188549488,D28 - PR_NR,hg38
chr7,-,93067167,D28 - PR_NR,hg38
chr8,-,104008336,D28 - PR_NR,hg38
chr9,+,36601195,D28 - PR_NR,hg38
chr10,+,44842559,D28 - PR_NR,hg38
chr12,-,29349471,D28 - PR_NR,hg38
chr12,-,62470584,D28 - PR_NR,hg38
chr14,+,53099196,D28 - PR_NR,hg38
chr16,-,925786,D28 - PR_NR,hg38
chr18,+,23491177,D28 - PR_NR,hg38
chr18,+,46215073,D28 - PR_NR,hg38
chr1,-,18544144,D28 - PR_NR,hg38
chr1,-,20713177,D28 - PR_NR,hg38
chr1,+,28101020,D28 - PR_NR,hg38
chr1,+,78605373,D28 - PR_NR,hg38
chr1,-,155484142,D28 - PR_NR,hg38
chr1,-,172187385,D28 - PR_NR,hg38
chr1,-,193426630,D28 - PR_NR,hg38
chr1,-,235231422,D28 - PR_NR,hg38
chr2,-,2938008,D28 - PR_NR,hg38
chr2,+,27231148,D28 - PR_NR,hg38
chr2,-,47420059,D28 - PR_NR,hg38
chr2,-,224540238,D28 - PR_NR,hg38
chr3,+,109358373,D28 - PR_NR,hg38
chr3,-,121487651,D28 - PR_NR,hg38
chr3,-,170115426,D28 - PR_NR,hg38
chr4,+,37844804,D28 - PR_NR,hg38
chr4,-,76706296,D28 - PR_NR,hg38
chr4,+,119118895,D28 - PR_NR,hg38
chr5,-,89206031,D28 - PR_NR,hg38
chr5,-,177347089,D28 - PR_NR,hg38
chr6,-,41983253,D28 - PR_NR,hg38
chr6,-,56800182,D28 - PR_NR,hg38
chr6,-,88851444,D28 - PR_NR,hg38
chr6,-,144960329,D28 - PR_NR,hg38
chr7,-,7692322,D28 - PR_NR,hg38
chr9,-,77237071,D28 - PR_NR,hg38
chr9,+,93050752,D28 - PR_NR,hg38
chr9,-,136816935,D28 - PR_NR,hg38
chr10,-,831576,D28 - PR_NR,hg38
chr11,+,61821297,D28 - PR_NR,hg38
chr11,-,78027544,D28 - PR_NR,hg38
chr12,+,6228388,D28 - PR_NR,hg38
chr12,-,46634593,D28 - PR_NR,hg38
chr15,-,49944272,D28 - PR_NR,hg38
chr16,+,2755043,D28 - PR_NR,hg38
chr16,+,21588584,D28 - PR_NR,hg38
chr16,-,30298542,D28 - PR_NR,hg38
chr16,+,57321743,D28 - PR_NR,hg38
chr17,+,63197829,D28 - PR_NR,hg38
chr18,+,5217260,D28 - PR_NR,hg38
chr18,+,31635067,D28 - PR_NR,hg38
chr18,+,74651395,D28 - PR_NR,hg38
chr19,+,53872725,D28 - PR_NR,hg38
chr22,+,32768593,D28 - PR_NR,hg38
chrX,+,151253274,D28 - PR_NR,hg38
chr1,-,21022582,D28 - PR_NR,hg38
chr1,-,28213336,D28 - PR_NR,hg38
chr1,-,31914703,D28 - PR_NR,hg38
chr1,-,37210317,D28 - PR_NR,hg38
chr1,+,43790588,D28 - PR_NR,hg38
chr1,-,92458804,D28 - PR_NR,hg38
chr1,+,96856465,D28 - PR_NR,hg38
chr1,-,116554501,D28 - PR_NR,hg38
chr1,-,117444599,D28 - PR_NR,hg38
chr1,+,169396331,D28 - PR_NR,hg38
chr1,+,193135821,D28 - PR_NR,hg38
chr1,+,193178187,D28 - PR_NR,hg38
chr2,-,24514902,D28 - PR_NR,hg38
chr2,+,36855214,D28 - PR_NR,hg38
chr2,-,43975216,D28 - PR_NR,hg38
chr2,+,65100444,D28 - PR_NR,hg38
chr2,+,84572847,D28 - PR_NR,hg38
chr2,+,134263827,D28 - PR_NR,hg38
chr2,+,189175898,D28 - PR_NR,hg38
chr2,-,197293098,D28 - PR_NR,hg38
chr2,+,213126263,D28 - PR_NR,hg38
chr2,-,214739584,D28 - PR_NR,hg38
chr2,-,214767084,D28 - PR_NR,hg38
chr3,-,18436762,D28 - PR_NR,hg38
chr3,-,30596627,D28 - PR_NR,hg38
chr3,+,30596623,D28 - PR_NR,hg38
chr3,-,48683133,D28 - PR_NR,hg38
chr3,-,67451496,D28 - PR_NR,hg38
chr3,+,91479246,D28 - PR_NR,hg38
chr3,+,94105896,D28 - PR_NR,hg38
chr3,+,122587888,D28 - PR_NR,hg38
chr3,+,153212644,D28 - PR_NR,hg38
chr3,+,160413462,D28 - PR_NR,hg38
chr3,+,167698537,D28 - PR_NR,hg38
chr3,-,169805552,D28 - PR_NR,hg38
chr3,+,170170561,D28 - PR_NR,hg38
chr3,-,188625776,D28 - PR_NR,hg38
chr3,+,197655400,D28 - PR_NR,hg38
chr4,-,919554,D28 - PR_NR,hg38
chr4,+,2660659,D28 - PR_NR,hg38
chr4,+,2709336,D28 - PR_NR,hg38
chr4,-,10587206,D28 - PR_NR,hg38
chr4,-,11440145,D28 - PR_NR,hg38
chr4,-,39339356,D28 - PR_NR,hg38
chr4,-,48516581,D28 - PR_NR,hg38
chr4,-,71112832,D28 - PR_NR,hg38
chr4,-,71112839,D28 - PR_NR,hg38
chr4,+,83097548,D28 - PR_NR,hg38
chr4,+,102506198,D28 - PR_NR,hg38
chr4,+,117583911,D28 - PR_NR,hg38
chr4,+,118861889,D28 - PR_NR,hg38
chr4,-,121195421,D28 - PR_NR,hg38
chr4,-,129026459,D28 - PR_NR,hg38
chr4,-,142993789,D28 - PR_NR,hg38
chr4,+,168271415,D28 - PR_NR,hg38
chr5,+,21352222,D28 - PR_NR,hg38
chr5,+,32393410,D28 - PR_NR,hg38
chr5,+,33463293,D28 - PR_NR,hg38
chr5,-,37022498,D28 - PR_NR,hg38
chr5,-,119211067,D28 - PR_NR,hg38
chr5,+,123530244,D28 - PR_NR,hg38
chr5,-,156633726,D28 - PR_NR,hg38
chr5,+,177237207,D28 - PR_NR,hg38
chr6,-,5560943,D28 - PR_NR,hg38
chr6,-,26946206,D28 - PR_NR,hg38
chr6,-,30762764,D28 - PR_NR,hg38
chr6,-,33660916,D28 - PR_NR,hg38
chr6,-,34637025,D28 - PR_NR,hg38
chr6,-,57542207,D28 - PR_NR,hg38
chr6,-,63674265,D28 - PR_NR,hg38
chr6,-,78999807,D28 - PR_NR,hg38
chr6,+,100713925,D28 - PR_NR,hg38
chr6,-,106193861,D28 - PR_NR,hg38
chr6,-,117579942,D28 - PR_NR,hg38
chr6,-,151651244,D28 - PR_NR,hg38
chr6,+,152499350,D28 - PR_NR,hg38
chr7,+,50234091,D28 - PR_NR,hg38
chr7,-,73013760,D28 - PR_NR,hg38
chr7,+,100328348,D28 - PR_NR,hg38
chr7,-,103310224,D28 - PR_NR,hg38
chr7,+,114765771,D28 - PR_NR,hg38
chr8,+,22476119,D28 - PR_NR,hg38
chr8,-,34057675,D28 - PR_NR,hg38
chr8,+,47919003,D28 - PR_NR,hg38
chr8,-,68462700,D28 - PR_NR,hg38
chr8,-,70075683,D28 - PR_NR,hg38
chr8,+,81066955,D28 - PR_NR,hg38
chr8,-,85225050,D28 - PR_NR,hg38
chr8,+,99039939,D28 - PR_NR,hg38
chr8,-,99061285,D28 - PR_NR,hg38
chr8,+,120714615,D28 - PR_NR,hg38
chr8,+,125652763,D28 - PR_NR,hg38
chr8,-,130328582,D28 - PR_NR,hg38
chr9,-,5787499,D28 - PR_NR,hg38
chr9,+,6968460,D28 - PR_NR,hg38
chr9,+,14319251,D28 - PR_NR,hg38
chr9,-,33963172,D28 - PR_NR,hg38
chr9,-,43439259,D28 - PR_NR,hg38
chr9,-,43493720,D28 - PR_NR,hg38
chr9,-,43916439,D28 - PR_NR,hg38
chr9,-,44427631,D28 - PR_NR,hg38
chr9,-,44518477,D28 - PR_NR,hg38
chr9,-,44806119,D28 - PR_NR,hg38
chr9,-,45101137,D28 - PR_NR,hg38
chr9,+,60572358,D28 - PR_NR,hg38
chr9,+,60676624,D28 - PR_NR,hg38
chr9,+,60678494,D28 - PR_NR,hg38
chr9,-,96458977,D28 - PR_NR,hg38
chr9,+,124435188,D28 - PR_NR,hg38
chr9,+,125188572,D28 - PR_NR,hg38
chr9,+,128694286,D28 - PR_NR,hg38
chr9,-,133413139,D28 - PR_NR,hg38
chr9,-,136464637,D28 - PR_NR,hg38
chr10,+,13595475,D28 - PR_NR,hg38
chr10,-,13627066,D28 - PR_NR,hg38
chr10,+,47711710,D28 - PR_NR,hg38
chr10,-,68929178,D28 - PR_NR,hg38
chr10,+,87171963,D28 - PR_NR,hg38
chr10,-,95743885,D28 - PR_NR,hg38
chr10,+,101445485,D28 - PR_NR,hg38
chr10,+,112427049,D28 - PR_NR,hg38
chr11,-,3977647,D28 - PR_NR,hg38
chr11,-,10741657,D28 - PR_NR,hg38
chr11,+,31535239,D28 - PR_NR,hg38
chr11,-,49867807,D28 - PR_NR,hg38
chr11,+,62634602,D28 - PR_NR,hg38
chr11,+,64782064,D28 - PR_NR,hg38
chr11,+,86257759,D28 - PR_NR,hg38
chr11,-,102322993,D28 - PR_NR,hg38
chr11,+,106007752,D28 - PR_NR,hg38
chr11,+,109626211,D28 - PR_NR,hg38
chr12,+,9001596,D28 - PR_NR,hg38
chr12,-,17001212,D28 - PR_NR,hg38
chr12,-,39589169,D28 - PR_NR,hg38
chr12,+,49488070,D28 - PR_NR,hg38
chr12,+,51770673,D28 - PR_NR,hg38
chr12,-,53600165,D28 - PR_NR,hg38
chr12,+,74539873,D28 - PR_NR,hg38
chr12,+,102114303,D28 - PR_NR,hg38
chr12,+,106448867,D28 - PR_NR,hg38
chr12,+,120870223,D28 - PR_NR,hg38
chr13,-,21442124,D28 - PR_NR,hg38
chr13,-,22068384,D28 - PR_NR,hg38
chr13,+,30280520,D28 - PR_NR,hg38
chr13,-,56159229,D28 - PR_NR,hg38
chr13,-,60528713,D28 - PR_NR,hg38
chr14,+,45170946,D28 - PR_NR,hg38
chr14,+,60128483,D28 - PR_NR,hg38
chr14,+,91990608,D28 - PR_NR,hg38
chr15,-,37532919,D28 - PR_NR,hg38
chr15,+,41688959,D28 - PR_NR,hg38
chr15,-,91416289,D28 - PR_NR,hg38
chr16,+,11565309,D28 - PR_NR,hg38
chr16,+,15003654,D28 - PR_NR,hg38
chr16,-,15911070,D28 - PR_NR,hg38
chr16,-,48573669,D28 - PR_NR,hg38
chr16,+,68048119,D28 - PR_NR,hg38
chr16,+,68177900,D28 - PR_NR,hg38
chr16,-,70037111,D28 - PR_NR,hg38
chr16,+,71782901,D28 - PR_NR,hg38
chr17,-,1259188,D28 - PR_NR,hg38
chr17,-,7490896,D28 - PR_NR,hg38
chr17,+,30742611,D28 - PR_NR,hg38
chr17,+,31946927,D28 - PR_NR,hg38
chr17,-,42266392,D28 - PR_NR,hg38
chr17,+,46495246,D28 - PR_NR,hg38
chr17,+,50742425,D28 - PR_NR,hg38
chr17,+,59765341,D28 - PR_NR,hg38
chr17,+,80813201,D28 - PR_NR,hg38
chr17,-,81574278,D28 - PR_NR,hg38
chr17,+,81633202,D28 - PR_NR,hg38
chr17,+,81698509,D28 - PR_NR,hg38
chr17,+,81845855,D28 - PR_NR,hg38
chr17,-,81852264,D28 - PR_NR,hg38
chr17,+,82165505,D28 - PR_NR,hg38
chr18,-,26023310,D28 - PR_NR,hg38
chr18,+,29928197,D28 - PR_NR,hg38
chr18,+,34961067,D28 - PR_NR,hg38
chr18,-,43194508,D28 - PR_NR,hg38
chr19,-,1201659,D28 - PR_NR,hg38
chr19,+,5952684,D28 - PR_NR,hg38
chr19,-,6823032,D28 - PR_NR,hg38
chr19,+,11518204,D28 - PR_NR,hg38
chr19,-,35651307,D28 - PR_NR,hg38
chr19,-,48210496,D28 - PR_NR,hg38
chr20,-,5839583,D28 - PR_NR,hg38
chr20,-,22012339,D28 - PR_NR,hg38
chr20,+,23900106,D28 - PR_NR,hg38
chr20,+,25716909,D28 - PR_NR,hg38
chr20,+,28791519,D28 - PR_NR,hg38
chr20,+,33506939,D28 - PR_NR,hg38
chr21,-,25451602,D28 - PR_NR,hg38
chr22,+,15217894,D28 - PR_NR,hg38
chr22,-,23700448,D28 - PR_NR,hg38
chr22,+,24370118,D28 - PR_NR,hg38
chr22,-,36358352,D28 - PR_NR,hg38
chrX,-,19948423,D28 - PR_NR,hg38
chrX,-,47473958,D28 - PR_NR,hg38
chrX,+,93886408,D28 - PR_NR,hg38
chrX,-,106641862,D28 - PR_NR,hg38
chrX,-,153916950,D28 - PR_NR,hg38
chrY,+,12776016,D28 - PR_NR,hg38
chr1,+,17526331,D28 - PR_NR,hg38
chr1,+,171826698,D28 - PR_NR,hg38
chr2,-,44256346,D28 - PR_NR,hg38
chr2,+,126730626,D28 - PR_NR,hg38
chr2,+,128296646,D28 - PR_NR,hg38
chr2,-,149800384,D28 - PR_NR,hg38
chr3,-,11254239,D28 - PR_NR,hg38
chr3,+,107658568,D28 - PR_NR,hg38
chr3,-,177777742,D28 - PR_NR,hg38
chr4,-,76287241,D28 - PR_NR,hg38
chr4,-,88054526,D28 - PR_NR,hg38
chr4,+,88452884,D28 - PR_NR,hg38
chr5,-,85876203,D28 - PR_NR,hg38
chr5,-,177403554,D28 - PR_NR,hg38
chr6,+,117647601,D28 - PR_NR,hg38
chr6,-,153549816,D28 - PR_NR,hg38
chr7,+,110758808,D28 - PR_NR,hg38
chr7,-,155611975,D28 - PR_NR,hg38
chr8,-,20062520,D28 - PR_NR,hg38
chr15,+,51727096,D28 - PR_NR,hg38
chr15,+,83628836,D28 - PR_NR,hg38
chr16,+,2227063,D28 - PR_NR,hg38
chr17,-,46179210,D28 - PR_NR,hg38
chr19,-,6846653,D28 - PR_NR,hg38
chr19,-,22955826,D28 - PR_NR,hg38
chr20,-,17067742,D28 - PR_NR,hg38
chr20,+,62389717,D28 - PR_NR,hg38
chrX,-,38534779,D28 - PR_NR,hg38
chr1,+,167646207,D28 - PR_NR,hg38
